SampleID,curated_file_Name,Row_File_Name,Row,Pear,Bowtie,MothurQC,F649_R889,F649_R889_bacteria,F649_R889_choa1,F649_R889_otu,F649_R889_PD,F649_R889_shannon,Project,Reserve,tree_species,Canopy,Tree,Day,Month,shedding,month,Year,season,sample_type,INC,legent1,lane,Temperature,Precipitation,Humidity,VPD,GI,RI,Description
L6S23,Pear_bowtie_mothurQC_L6S23_F649_R889.fasta,03-15-R02S1_S23_L001_R1_001.fastq,257672,222981,222531,165906,107096,48157,922.7727273,484,24.53637,5.306248632,Acacia,Shizaf,A. raddiana,South,286,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_R,6,21.4,21.6,30,1893,0.348,0.369,Epi_R286_3_S
L6S30,Pear_bowtie_mothurQC_L6S30_F649_R889.fasta,03-15-T04C1_S30_L001_R1_001.fastq,44074,28674,28580,21224,15234,4495,208,69,5.40755,1.770950595,Acacia,Shizaf,A. tortilis,Center,23,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_T,6,21.4,21.6,30,1893,0.3483253117,0.361,Epi_T23_3_C
L6S27,Pear_bowtie_mothurQC_L6S27_F649_R889.fasta,03-15-T03C1_S27_L001_R1_001.fastq,96922,77059,76927,58019,31098,5984,835.9491525,464,22.43423,5.85013811,Acacia,Shizaf,A. tortilis,Center,300,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_T,6,21.4,21.6,30,1893,0.3483253117,0.361,Epi_T300_3_C
L6S28,Pear_bowtie_mothurQC_L6S28_F649_R889.fasta,03-15-T04N1_S28_L001_R1_001.fastq,66358,55531,55431,42113,22311,1879,270.8333333,155,11.02428,4.848232906,Acacia,Shizaf,A. tortilis,North,23,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_T,6,21.4,21.6,30,1893,0.3483253117,0.361,Epi_T23_3_N
L6S25,Pear_bowtie_mothurQC_L6S25_F649_R889.fasta,03-15-T03N1_S25_L001_R1_001.fastq,41142,33614,33572,25078,17585,8721,535.4594595,341,17.87337,5.505031195,Acacia,Shizaf,A. tortilis,North,300,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_T,6,21.4,21.6,30,1893,0.3483253117,0.361,Epi_T300_3_N
L6S29,Pear_bowtie_mothurQC_L6S29_F649_R889.fasta,03-15-T04S1_S29_L001_R1_001.fastq,158461,134186,133949,98759,68151,37974,621.3235294,343,19.82125,3.370332675,Acacia,Shizaf,A. tortilis,South,23,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_T,6,21.4,21.6,30,1893,0.3483253117,0.361,Epi_T23_3_S
L6S26,Pear_bowtie_mothurQC_L6S26_F649_R889.fasta,03-15-T03S2_S26_L001_R1_001.fastq,39081,30616,30525,22600,15161,6596,288.1875,172,10.21948,3.663446939,Acacia,Shizaf,A. tortilis,South,300,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_T,6,21.4,21.6,30,1893,0.3483253117,0.361,Epi_T300_3_S
C01S90,Pear_bowtie_mothurQC_C01S90_F649_R889.fasta,Core-01-S90-Endo-R284S4_S90_L001_R1_001.fastq,101720,89921,89797,77745,58300,23202,386.7142857,164,10.63156,2.359013242,Acacia,Shizaf,A. raddiana,South,284,20,4,new,April,2015,Spring,Endophytes,core_all,Endo_R,C01,26,0.9,34,2543,0.3511113426,0.392,Endo_R284_4_S
C01S89,Pear_bowtie_mothurQC_C01S89_F649_R889.fasta,Core-01-S89-Endo-R286S4_S89_L001_R1_001.fastq,96375,82100,81939,70001,46387,29515,327.0454545,157,10.29873,1.815051556,Acacia,Shizaf,A. raddiana,South,286,20,4,new,April,2015,Spring,Endophytes,core_all,Endo_R,C01,26,0.9,34,2543,0.3511113426,0.392,Endo_R286_4_S
C01S63,Pear_bowtie_mothurQC_C01S63_F649_R889.fasta,Core-01-S63-Endo-T23S3_S63_L001_R1_001.fastq,24563,21061,21026,18159,16715,4531,137.2,75,5.66215,2.22257032,Acacia,Shizaf,A. tortilis,South,23,20,4,new,April,2015,Spring,Endophytes,core_all,Endo_T,C01,26,0.9,34,2543,0.3463800564,0.381,Endo_T23_4_S
